ID: 8700, Имя: AutoModeDetect, Приоритет: 8, Время запуска: 22.12.2023 9:55:20, Текущее состояние: True, Процессор использовал 00:00:02.5937500 времени
ID: 27040, Имя: conhost, Приоритет: 8, Время запуска: 22.12.2023 9:55:20, Текущее состояние: True, Процессор использовал 00:00:00.0781250 времени
ID: 468, Имя: sihost, Приоритет: 8, Время запуска: 22.12.2023 9:55:20, Текущее состояние: True, Процессор использовал 00:00:10.0468750 времени
ID: 13952, Имя: svchost, Приоритет: 8, Время запуска: 22.12.2023 9:55:20, Текущее состояние: True, Процессор использовал 00:00:03.0937500 времени
ID: 3564, Имя: svchost, Приоритет: 8, Время запуска: 22.12.2023 9:55:20, Текущее состояние: True, Процессор использовал 00:00:01.3125000 времени
ID: 17928, Имя: igfxEMN, Приоритет: 8, Время запуска: 22.12.2023 9:55:20, Текущее состояние: True, Процессор использовал 00:00:00.3906250 времени
ID: 14348, Имя: svchost, Приоритет: 8, Время запуска: 22.12.2023 9:55:20, Текущее состояние: True, Процессор использовал 00:00:10.2031250 времени
ID: 15256, Имя: taskhostw, Приоритет: 8, Время запуска: 22.12.2023 9:55:20, Текущее состояние: True, Процессор использовал 00:00:03.0468750 времени
ID: 17284, Имя: explorer, Приоритет: 8, Время запуска: 22.12.2023 9:55:20, Текущее состояние: True, Процессор использовал 00:09:46.9375000 времени
ID: 19896, Имя: StartMenuExperienceHost, Приоритет: 8, Время запуска: 22.12.2023 9:55:21, Текущее состояние: True, Процессор использовал 00:00:02.8281250 времени
ID: 11428, Имя: RuntimeBroker, Приоритет: 8, Время запуска: 22.12.2023 9:55:21, Текущее состояние: True, Процессор использовал 00:00:00.9218750 времени
ID: 15748, Имя: SearchApp, Приоритет: 8, Время запуска: 22.12.2023 9:55:22, Текущее состояние: True, Процессор использовал 00:00:08.3906250 времени
ID: 2636, Имя: RuntimeBroker, Приоритет: 8, Время запуска: 22.12.2023 9:55:22, Текущее состояние: True, Процессор использовал 00:00:05 времени
ID: 5992, Имя: SkypeBackgroundHost, Приоритет: 8, Время запуска: 22.12.2023 9:55:22, Текущее состояние: True, Процессор использовал 00:00:00.0312500 времени
ID: 17464, Имя: SkypeApp, Приоритет: 8, Время запуска: 22.12.2023 9:55:22, Текущее состояние: True, Процессор использовал 00:00:03.0781250 времени
ID: 26784, Имя: YourPhone, Приоритет: 8, Время запуска: 22.12.2023 9:55:22, Текущее состояние: True, Процессор использовал 00:00:01 времени
ID: 13376, Имя: ctfmon, Приоритет: 13, Время запуска: 22.12.2023 9:55:22, Текущее состояние: True, Процессор использовал 00:00:34.8593750 времени
ID: 16156, Имя: RuntimeBroker, Приоритет: 8, Время запуска: 22.12.2023 9:55:23, Текущее состояние: True, Процессор использовал 00:00:00.8125000 времени
ID: 2040, Имя: RuntimeBroker, Приоритет: 8, Время запуска: 22.12.2023 9:55:24, Текущее состояние: True, Процессор использовал 00:00:06.8750000 времени
