ID: 4, Имя: System, Приоритет: 8, Время запуска: 20.11.2023 19:46:07, Текущее состояние: True, Процессор использовал 01:49:54.4218750 времени
ID: 100, Имя: Registry, Приоритет: 8, Время запуска: 20.11.2023 19:46:04, Текущее состояние: True, Процессор использовал 00:00:10.2343750 времени
ID: 392, Имя: smss, Приоритет: 11, Время запуска: 20.11.2023 19:46:07, Текущее состояние: True, Процессор использовал 00:00:00.2812500 времени
ID: 544, Имя: csrss, Приоритет: 13, Время запуска: 20.11.2023 19:46:10, Текущее состояние: True, Процессор использовал 00:00:09.4687500 времени
ID: 688, Имя: wininit, Приоритет: 13, Время запуска: 20.11.2023 19:46:10, Текущее состояние: True, Процессор использовал 00:00:00.1875000 времени
ID: 844, Имя: services, Приоритет: 9, Время запуска: 20.11.2023 19:46:11, Текущее состояние: True, Процессор использовал 00:01:05.5000000 времени
ID: 852, Имя: lsass, Приоритет: 9, Время запуска: 20.11.2023 19:46:11, Текущее состояние: True, Процессор использовал 00:01:41.0625000 времени
ID: 992, Имя: svchost, Приоритет: 8, Время запуска: 20.11.2023 19:46:11, Текущее состояние: True, Процессор использовал 00:01:59.6718750 времени
ID: 1020, Имя: fontdrvhost, Приоритет: 8, Время запуска: 20.11.2023 19:46:11, Текущее состояние: True, Процессор использовал 00:00:00.6562500 времени
ID: 616, Имя: svchost, Приоритет: 8, Время запуска: 20.11.2023 19:46:11, Текущее состояние: True, Процессор использовал 00:02:47.5312500 времени
ID: 940, Имя: svchost, Приоритет: 8, Время запуска: 20.11.2023 19:46:12, Текущее состояние: True, Процессор использовал 00:00:07.2031250 времени
ID: 1172, Имя: svchost, Приоритет: 8, Время запуска: 20.11.2023 19:46:12, Текущее состояние: True, Процессор использовал 00:00:06.8593750 времени
ID: 1204, Имя: svchost, Приоритет: 8, Время запуска: 20.11.2023 19:46:12, Текущее состояние: True, Процессор использовал 00:00:02.0937500 времени
ID: 1212, Имя: svchost, Приоритет: 8, Время запуска: 20.11.2023 19:46:12, Текущее состояние: True, Процессор использовал 00:00:00.2968750 времени
ID: 1220, Имя: svchost, Приоритет: 8, Время запуска: 20.11.2023 19:46:12, Текущее состояние: True, Процессор использовал 00:00:00.6093750 времени
ID: 1228, Имя: svchost, Приоритет: 8, Время запуска: 20.11.2023 19:46:12, Текущее состояние: True, Процессор использовал 00:00:00.1093750 времени
